Time		Subtitle		Translation
00:00:00				欲速则不达 
00:00:01				大家好，我是你们的朋友老庄 
00:00:04				今天想和大家聊一下我自己使用的交易策略 
00:00:08				它的交易逻辑非常简单 
00:00:10				没有复杂的指标 
00:00:12				也没有繁琐的操作指令 
00:00:15				但就是这样一个简单的策略 
00:00:16				却做到了穿越牛熊，稳定盈利 
00:00:20				这个策略也完美的契合了我对交易的猜想 
00:00:24				大道至简 
00:00:25				一个能够长期稳定盈利的交易系统 
00:00:27				一定不会太复杂 
00:00:29				如果你对交易加密货币感兴趣 
00:00:31				请一定要关注我的频道并打开小铃铛提醒 
00:00:35				我会随时在这个频道分享一些可用于实盘获利的 
00:00:38				交易策略 
00:00:39				以及我最新的研究成果 
00:00:42				并且还会更新一些加密货币自动化交易的干货 
00:00:46				你甚至完全不用懂代码 
00:00:47				就能让程序24小时替你赚钱 
00:00:51				通常我们把金融市场视为一个混沌系统 
00:00:54				买卖本身的行为会对自身的运行产生巨大的影响 
00:00:59				这种蝴蝶效应会让系统运动的方向非常难以预测 
00:01:04				导致系统呈现出随机性变化 
00:01:07				只有在某些特定的时候 
00:01:09				我们的获利机会才能够超过50% 
00:01:12				可能有人就要问了 
00:01:14				既然你说是随机性运动 
00:01:16				那你怎么保证盈利呢 
00:01:18				举个例子，大家应该都知道21点 
00:01:21				从概率上来讲 
00:01:22				庄家的胜率是要大于玩家的 
00:01:25				就算使用一些技巧 
00:01:27				玩家的最大胜率也只有49% 
00:01:31				这也是赌场长期盈利的保证 
00:01:34				但是如果我们用某种方式记住出牌的顺序 
00:01:38				那么在某些特定的情况下 
00:01:40				玩家的胜率就会超过庄家达到51% 
00:01:44				你只要在这个时候加注 
00:01:46				长期下来就能打败庄家获利 
00:01:50				其实在交易的过程中也大量存在这种机会 
00:01:53				比如在市场情绪狂热 
00:01:56				或者悲观的时候 
00:01:57				也就是趋势形成的时候 
00:01:59				我们只用跟随趋势下注 
00:02:02				就能获得正向收益 
00:02:05				这就是我今天要给大家介绍的交易策略 
00:02:08				我将它命名为“草龟交易法则” 
00:02:11				不仅是因为我平时喜欢养乌龟 
00:02:14				最主要的原因是它的交易逻辑 
00:02:17				和经典的趋势交易策略“海龟交易法则”有相似之处 
00:02:22				"海龟交易法则"是大多数新人接触量化交易了解的第一个策略 
