Time		Subtitle		Translation
00:00:00				欲速则不达 
00:00:01				我是你们的朋友老庄 
00:00:04				在上一期视频中 
00:00:06				我介绍了自己正在使用的量化交易策略 
00:00:09				“草龟交易法则” 
00:00:11				它在过去两年中为我赚取了超过4倍的收益 
00:00:16				是一个穿越牛熊的可靠策略 
00:00:19				我只用将写好的代码放到云服务器上运行 
00:00:23				它就会24小时为我赚钱 
00:00:26				无论我是在工作 
00:00:28				娱乐，还是休息 
00:00:30				如果你想像我一样躺着赚钱 
00:00:33				请务必关注我的频道 
00:00:36				你不用付出掉头发的代价 
00:00:38				去学习写代码 
00:00:40				也不用水中捞月般的测试各种策略 
00:00:44				只需要花一点点时间和耐心观看我的视频 
00:00:47				就能轻松实现自动交易 
00:00:51				想要让程序帮你赚钱 
00:00:53				你一定要对策略有充分的了解 
00:00:56				简单来说就是要做到心中有数 
00:01:00				否则你很有可能会在一波回撤之后 
00:01:03				怀疑它的盈利能力 
00:01:05				中途选择放弃 
00:01:07				结果在行情到来的时候错过大量利润 
00:01:12				又或者你总是忍不住想要手动干预程序的运行 
00:01:16				该止损的时候反而不止损 
00:01:19				结果被狠狠打脸 
00:01:22				其实手动操作也一样会遇到这类问题 
00:01:25				而且问题只会更多 
00:01:28				例如追涨杀跌，恐慌交易，频繁交易 
00:01:33				亏损之后喜欢重仓交易 
00:01:35				等等行为 
00:01:36				都属于在交易过程中比较常见的问题 
00:01:40				这些都源于你对策略缺乏足够的了解 
00:01:45				每交易100次的胜率是多少？ 
00:01:48				交易频率怎么样？ 
00:01:49				账户资金的回撤最大有多少？ 
00:01:52				盈利能力如何？ 
00:01:54				交易过程中的波动幅度有多大？ 
00:01:57				当你对这样的情况都了熟于心的时候 
00:02:00				自然不会因为行情的一时波动而轻易失去冷静的判断 
00:02:06				一个策略想要写成程序运行 
00:02:09				首先要做的就是要将它进行量化 
00:02:12				变成机器能够理解的逻辑 
00:02:15				很多时候你会发现某某高胜率 
00:02:17				高收益之类的交易方法 
00:02:19				在写成程序进行回测之后其结果完全不忍直视 
00:02:25				因为我们在手动测试的时候 
00:02:27				会下意识的进行一些有利于自己的选择 
00:02:32				这就是主观因素的影响 
00:02:34				只有进行科学的量化研究 
00:02:36				才能够真正挑选出优质的策略 
00:02:39				接下来我会以“草龟交易法则”为例进行研究分析 
00:02:44				一方面为了加深大家对策略的了解 
00:02:47				因为真正能盈利的策略并不多 
00:02:49				与其花大量时间去大浪淘沙 
00:02:52				还不如先抓住眼前的机会 
00:02:55				另一方面 
00:02:56				我希望你能够从我的分析方法中 
00:02:59				学会自己甄别策略的好坏 
00:03:02				在这里我要给大家强力推荐TradingView这个平台 
00:03:06				它的专有编程语言“Pine编辑器”好用到飞起 
00:03:12				我自己用python写的回测代码大约有1000多行 
00:03:16				非常耗精力 
00:03:18				而且交流起来还特别不方便 
00:03:21				没有几年经验你都用不了 
00:03:23				但是用pine语言差不多100多行就能搞定了 
00:03:27				大家只需要打开网页 
00:03:29				复制粘贴就能使用 
00:03:32				随时随地不受环境限制 
00:03:34				甚至还能直接实现自动交易 
00:03:37				更不用说社区还有金矿等着挖 
00:03:40				很多大神会分享他们的策略 
00:03:43				简直吹爆 
00:03:45				以后的策略研究代码我会优先使用pine语言发布 
00:03:50				如果你还没有TradingView账号 
00:03:52				可以点击视频下方的链接注册申请 
00:03:56				我的TradingView会员级别只能使用10000条K线 
00:04:01				算下来在1小时级别只能测试两年内的数据 
00:04:05				不过问题不大 
00:04:07				这两年正好处于一次牛熊交替的周期 
00:04:11				作为我们的教学素材，也足够了 
00:04:15				在真正实盘之前 
00:04:17				建议至少回测两个大周期 
00:04:21				差不多三到四年 
